framework,control_id,title,family,status,finding_ids,score,failing_access_points,weakened_access_points,assessed_access_points,estate_score
iso27001,A.5.15,Access control,5,partially_met,"F-001-03, F-002-03, F-003-04, F-004-04, F-007-01, F-008-03, F-008-06, F-009-03, F-011-05, F-012-03, F-012-07, F-013-04, F-015-05, F-017-03, F-020-05, F-021-02, F-023-05, F-024-03, F-027-03",0.5,0,13,28,0.7679
iso27001,A.5.16,Identity management,5,not_met,"F-002-03, F-002-04, F-002-05, F-002-08, F-008-03, F-008-04, F-008-07, F-009-03, F-009-04, F-009-06, F-012-03, F-012-04, F-012-08, F-017-03, F-017-04, F-017-08, F-020-04, F-021-02, F-021-03, F-021-06, F-023-06, F-024-03, F-024-04, F-024-05, F-024-09",0.0,8,1,28,0.6964
iso27001,A.5.17,Authentication information,5,met,,1.0,0,0,28,1.0
iso27001,A.5.18,Access rights,5,not_met,"F-002-08, F-008-07, F-009-06, F-012-08, F-017-08, F-020-04, F-021-06, F-023-06, F-024-09",0.0,8,1,28,0.6964
iso27001,A.5.35,Independent review of information security,5,met,,1.0,0,0,28,1.0
iso27001,A.5.37,Documented operating procedures,5,met,"F-001-01, F-011-01, F-013-01, F-020-01",1.0,0,0,28,1.0
iso27001,A.7.1,Physical security perimeters,7,not_met,F-023-01,0.0,1,0,28,0.9643
iso27001,A.7.12,Cabling security,7,not_met,"F-001-02, F-002-06, F-005-01, F-008-05, F-009-05, F-010-01, F-011-02, F-012-05, F-013-02, F-014-01, F-015-03, F-017-05, F-018-01, F-020-02, F-024-06, F-027-01, F-028-01",0.0,17,0,28,0.3929
iso27001,A.7.13,Equipment maintenance,7,not_met,"F-001-03, F-003-01, F-004-01, F-007-01, F-008-06, F-012-07, F-015-01, F-015-05, F-027-03",0.0,6,2,28,0.75
iso27001,A.7.2,Physical entry,7,not_met,"F-001-01, F-001-02, F-002-01, F-002-02, F-002-03, F-002-04, F-002-05, F-002-06, F-002-07, F-002-08, F-003-01, F-003-02, F-003-04, F-004-01, F-004-02, F-004-04, F-005-01, F-005-02, F-006-01, F-006-02, F-006-03, F-008-01, F-008-02, F-008-03, F-008-04, F-008-05, F-008-07, F-009-01, F-009-02, F-009-03, F-009-04, F-009-05, F-009-06, F-010-01, F-011-01, F-011-02, F-011-03, F-011-05, F-012-01, F-012-02, F-012-03, F-012-04, F-012-05, F-012-08, F-013-01, F-013-02, F-013-03, F-013-04, F-014-01, F-014-02, F-015-01, F-015-02, F-015-03, F-015-04, F-016-01, F-017-01, F-017-02, F-017-03, F-017-04, F-017-05, F-017-06, F-017-08, F-018-01, F-018-02, F-019-01, F-019-02, F-020-01, F-020-02, F-020-05, F-021-01, F-021-02, F-021-03, F-021-04, F-021-06, F-022-01, F-023-01, F-023-02, F-023-03, F-023-05, F-023-06, F-024-01, F-024-02, F-024-03, F-024-04, F-024-05, F-024-06, F-024-07, F-024-09, F-025-01, F-025-02, F-026-01, F-027-01, F-028-01",0.0,20,7,28,0.1607
