weakness_id,weakness,protocols,severity,source,iso27001,nist80053
W-STATIC-ID,"Static, non-authenticating credential identifier","rfid_lf, nfc_hf, ibutton",High,rf_probe,"A.7.2*, A.8.5*, A.5.16, A.8.8","PE-3*, IA-3*, AC-3*, IA-2, RA-5"
W-NO-CRYPTO,No cryptographic authentication in the credential exchange,"rfid_lf, nfc_hf, ibutton, subghz, ir",High,rf_probe,"A.8.5*, A.7.2*, A.8.8","SC-13*, SC-8*, PE-3*, IA-3*"
W-BROKEN-CRYPTO,Deprecated or academically broken proprietary cipher,"nfc_hf, subghz",High,rf_probe,"A.8.5*, A.8.8*, A.7.13, A.7.2","SC-13*, PE-3, RA-5*, CM-6"
W-DEFAULT-KEYS,Factory-default or publicly published sector keys in use,nfc_hf,Critical,rf_probe,"A.5.17*, A.8.5*, A.7.2*, A.8.8*","IA-5*, CM-6*, PE-3*, SC-13"
W-FIXED-CODE-RF,Fixed-code sub-GHz transmitter (no rolling code),subghz,High,rf_probe,"A.7.2*, A.7.1*, A.8.5*, A.7.4","PE-3*, PE-16*, SC-8*, AC-3*, PE-6"
W-ROLLING-REPLAY,Rolling code defeatable by jam-and-replay or counter desynchronisation,subghz,Medium,rf_probe,"A.7.2, A.8.5, A.8.8","PE-3, SC-8, PE-6"
W-SEQUENTIAL-ID,Sequential or low-entropy identifier allocation,"rfid_lf, nfc_hf, ibutton",High,rf_probe,"A.5.16*, A.7.2*, A.5.15","PE-2*, AC-2*, PE-3*, IA-2"
W-SMALL-NAMESPACE,Identifier namespace too small for the credential population,"rfid_lf, nfc_hf",Medium,rf_probe,"A.5.16, A.7.2, A.8.8","IA-2, AC-2, PE-3"
W-NO-MUTUAL-AUTH,Reader is not authenticated to the credential,"nfc_hf, rfid_lf",Medium,rf_probe,"A.8.5, A.7.9, A.7.2","IA-3, SC-8, PE-3"
W-WIRE-CLEARTEXT,Credential data traverses reader-to-controller wiring unauthenticated,"rfid_lf, nfc_hf",High,inventory,"A.7.12*, A.7.2*, A.8.5, A.7.4","PE-4*, SC-8*, PE-3*, PE-3(5)"
W-NO-TAMPER,Reader has no tamper detection or no reporting path for tamper events,"rfid_lf, nfc_hf, subghz, ir, ibutton",Medium,inventory,"A.7.4*, A.7.2, A.8.16","PE-3(5)*, PE-6, SI-4"
W-NO-EVENT-LOG,Access point produces no retained access event record,"rfid_lf, nfc_hf, subghz, ir, ibutton",Medium,inventory,"A.8.15*, A.7.4*, A.8.16","AU-2*, PE-6*, PE-8, AU-6"
W-NO-REVOCATION,Credential cannot be expired or revoked at the credential layer,"rfid_lf, nfc_hf, ibutton, subghz",Medium,inventory,"A.5.18*, A.5.16, A.7.2","PE-2*, IA-5*, AC-2"
W-SHARED-CREDENTIAL,Non-attributable shared or pooled credential in use,"rfid_lf, nfc_hf, subghz, ibutton",Medium,inventory,"A.5.16*, A.5.18, A.8.15","AC-2*, IA-2*, PE-2, PE-8*"
W-SINGLE-FACTOR-HIGH,Single-factor possession-only credential at a high-sensitivity boundary,"rfid_lf, nfc_hf, subghz, ibutton",High,inventory,"A.8.5*, A.7.3*, A.7.2, A.5.15","IA-2*, PE-3(1)*, PE-3, PE-6(4)"
W-IR-UNAUTH-CTRL,Security-relevant device controllable by unauthenticated infrared command,ir,Medium,rf_probe,"A.7.2, A.7.3, A.8.5*","PE-3, AC-3, SC-8, PE-18"
W-LEGACY-EOL,End-of-life credential or reader generation with no vendor security maintenance,"rfid_lf, nfc_hf, ibutton",Medium,inventory,"A.7.13*, A.8.8*, A.5.15","RA-5*, CM-6, PE-3"
W-MIXED-MODE,Reader accepts a legacy insecure format alongside the secure format,"nfc_hf, rfid_lf",High,rf_probe,"A.8.5*, A.7.2*, A.8.8*, A.5.37","CM-6*, PE-3*, SC-13, RA-5"
