finding_id,access_point_id,access_point,zone,protocol,device_type,weakness_id,weakness,source,confidence,base_severity,risk_score,risk_rating,iso27001_failed,nist80053_failed,evidence
F-001-01,AP-001,Main entrance turnstile 1,general,nfc_hf,MIFARE DESFire EV2/EV3,W-MIXED-MODE,Reader accepts a legacy insecure format alongside the secure format,rf_probe,0.913,High,3.381,Medium,"A.7.2, A.8.5, A.8.8","CM-6, PE-3",Identified as MIFARE DESFire EV2/EV3 (confidence 0.99). A legacy-format credential was accepted by this reader alongside the current format.
F-001-02,AP-001,Main entrance turnstile 1,general,nfc_hf,MIFARE DESFire EV2/EV3,W-WIRE-CLEARTEXT,Credential data traverses reader-to-controller wiring unauthenticated,inventory,1.0,High,3.381,Medium,"A.7.12, A.7.2","PE-3, PE-4, SC-8",Reader-to-controller interface recorded as Wiegand: the decoded credential crosses the reader's wiring unauthenticated and in the clear.
F-001-03,AP-001,Main entrance turnstile 1,general,nfc_hf,MIFARE DESFire EV2/EV3,W-LEGACY-EOL,End-of-life credential or reader generation with no vendor security maintenance,inventory,1.0,Medium,2.536,Medium,"A.7.13, A.8.8",RA-5,MIFARE DESFire EV2/EV3 at this access point is recorded as an end-of-life generation with no remaining vendor security maintenance.
F-002-01,AP-002,Main entrance turnstile 2,general,rfid_lf,Indala 26-bit,W-NO-CRYPTO,No cryptographic authentication in the credential exchange,rf_probe,1.0,High,3.381,Medium,"A.7.2, A.8.5","IA-3, PE-3, SC-13, SC-8",Identified as Indala 26-bit (confidence 0.80). No challenge and no authentication round observed in the exchange.
F-002-02,AP-002,Main entrance turnstile 2,general,rfid_lf,Indala 26-bit,W-NO-MUTUAL-AUTH,Reader is not authenticated to the credential,rf_probe,1.0,Medium,2.536,Medium,,,Identified as Indala 26-bit (confidence 0.80). The credential responded without requiring any proof from the reader.
F-002-03,AP-002,Main entrance turnstile 2,general,rfid_lf,Indala 26-bit,W-SEQUENTIAL-ID,Sequential or low-entropy identifier allocation,rf_probe,0.993,High,3.381,Medium,"A.5.16, A.7.2","AC-2, PE-2, PE-3","Identified as Indala 26-bit (confidence 0.80). Identifiers sampled from the same issuing batch differ by a near-constant step, indicating sequential allocation."
F-002-04,AP-002,Main entrance turnstile 2,general,rfid_lf,Indala 26-bit,W-SMALL-NAMESPACE,Identifier namespace too small for the credential population,rf_probe,1.0,Medium,2.536,Medium,,,Identified as Indala 26-bit (confidence 0.80). Decoded payload is 26 bits against a population of 522 holders.
F-002-05,AP-002,Main entrance turnstile 2,general,rfid_lf,Indala 26-bit,W-STATIC-ID,"Static, non-authenticating credential identifier",rf_probe,1.0,High,3.381,Medium,"A.7.2, A.8.5","AC-3, IA-3, PE-3",Identified as Indala 26-bit (confidence 0.80). 3 repeat reads returned 1 distinct payload(s); the credential presents a fixed identifier with no challenge.
F-002-06,AP-002,Main entrance turnstile 2,general,rfid_lf,Indala 26-bit,W-WIRE-CLEARTEXT,Credential data traverses reader-to-controller wiring unauthenticated,inventory,1.0,High,3.381,Medium,"A.7.12, A.7.2","PE-3, PE-4, SC-8",Reader-to-controller interface recorded as Wiegand: the decoded credential crosses the reader's wiring unauthenticated and in the clear.
F-002-07,AP-002,Main entrance turnstile 2,general,rfid_lf,Indala 26-bit,W-NO-TAMPER,Reader has no tamper detection or no reporting path for tamper events,inventory,1.0,Medium,2.536,Medium,A.7.4,PE-3(5),No supervised tamper switch on the reader assembly at this access point.
F-002-08,AP-002,Main entrance turnstile 2,general,rfid_lf,Indala 26-bit,W-NO-REVOCATION,Credential cannot be expired or revoked at the credential layer,inventory,1.0,Medium,2.536,Medium,A.5.18,"IA-5, PE-2",Indala 26-bit carries no expiry field and nothing cryptographically revocable; revocation depends entirely on the controller allow list.
F-003-01,AP-003,Loading bay roller door 1,restricted,subghz,KeeLoq rolling-code remote,W-BROKEN-CRYPTO,Deprecated or academically broken proprietary cipher,rf_probe,1.0,High,4.6,High,"A.8.5, A.8.8","RA-5, SC-13",Identified as KeeLoq rolling-code remote (confidence 1.00). This generation's proprietary cipher has published practical key-recovery attacks (see mapping references).
F-003-02,AP-003,Loading bay roller door 1,restricted,subghz,KeeLoq rolling-code remote,W-ROLLING-REPLAY,Rolling code defeatable by jam-and-replay or counter desynchronisation,rf_probe,1.0,Medium,3.45,Medium,,,"Identified as KeeLoq rolling-code remote (confidence 1.00). Rolling counter present, but the exchange is one-way with no receiver challenge."
F-003-03,AP-003,Loading bay roller door 1,restricted,subghz,KeeLoq rolling-code remote,W-NO-EVENT-LOG,Access point produces no retained access event record,inventory,1.0,Medium,3.45,Medium,"A.7.4, A.8.15","AU-2, PE-6",Access point is not integrated with the access control platform; no retained event is produced for entries through it.
F-003-04,AP-003,Loading bay roller door 1,restricted,subghz,KeeLoq rolling-code remote,W-SINGLE-FACTOR-HIGH,Single-factor possession-only credential at a high-sensitivity boundary,inventory,1.0,High,4.6,High,"A.7.3, A.8.5","IA-2, PE-3(1)","A single possession factor is enforced at a restricted zone boundary; no PIN, biometric or supervised entry is required."
F-004-01,AP-004,Loading bay roller door 2,restricted,subghz,KeeLoq rolling-code remote,W-BROKEN-CRYPTO,Deprecated or academically broken proprietary cipher,rf_probe,1.0,High,5.29,High,"A.8.5, A.8.8","RA-5, SC-13",Identified as KeeLoq rolling-code remote (confidence 1.00). This generation's proprietary cipher has published practical key-recovery attacks (see mapping references).
F-004-02,AP-004,Loading bay roller door 2,restricted,subghz,KeeLoq rolling-code remote,W-ROLLING-REPLAY,Rolling code defeatable by jam-and-replay or counter desynchronisation,rf_probe,1.0,Medium,3.967,Medium,,,"Identified as KeeLoq rolling-code remote (confidence 1.00). Rolling counter present, but the exchange is one-way with no receiver challenge."
F-004-03,AP-004,Loading bay roller door 2,restricted,subghz,KeeLoq rolling-code remote,W-NO-EVENT-LOG,Access point produces no retained access event record,inventory,1.0,Medium,3.967,Medium,"A.7.4, A.8.15","AU-2, PE-6",Access point is not integrated with the access control platform; no retained event is produced for entries through it.
F-004-04,AP-004,Loading bay roller door 2,restricted,subghz,KeeLoq rolling-code remote,W-SINGLE-FACTOR-HIGH,Single-factor possession-only credential at a high-sensitivity boundary,inventory,1.0,High,5.29,High,"A.7.3, A.8.5","IA-2, PE-3(1)","A single possession factor is enforced at a restricted zone boundary; no PIN, biometric or supervised entry is required."
F-005-01,AP-005,Staff entrance 1,general,nfc_hf,MIFARE DESFire EV2/EV3,W-WIRE-CLEARTEXT,Credential data traverses reader-to-controller wiring unauthenticated,inventory,1.0,High,3.888,Medium,"A.7.12, A.7.2","PE-3, PE-4, SC-8",Reader-to-controller interface recorded as Wiegand: the decoded credential crosses the reader's wiring unauthenticated and in the clear.
F-005-02,AP-005,Staff entrance 1,general,nfc_hf,MIFARE DESFire EV2/EV3,W-NO-TAMPER,Reader has no tamper detection or no reporting path for tamper events,inventory,1.0,Medium,2.916,Medium,A.7.4,PE-3(5),No supervised tamper switch on the reader assembly at this access point.
F-006-01,AP-006,Meeting suite door 1,general,ir,IR barrier release,W-IR-UNAUTH-CTRL,Security-relevant device controllable by unauthenticated infrared command,rf_probe,0.977,Medium,2.415,Low,A.8.5,,Identified as IR barrier release (confidence 0.58). The device acted on a replayed capture of its own infrared command with no authentication.
F-006-02,AP-006,Meeting suite door 1,general,ir,IR barrier release,W-NO-CRYPTO,No cryptographic authentication in the credential exchange,rf_probe,0.607,High,2.587,Medium,"A.7.2, A.8.5","IA-3, PE-3, SC-13, SC-8",Identified as IR barrier release (confidence 0.58). No challenge and no authentication round observed in the exchange.
F-006-03,AP-006,Meeting suite door 1,general,ir,IR barrier release,W-NO-TAMPER,Reader has no tamper detection or no reporting path for tamper events,inventory,1.0,Medium,2.415,Low,A.7.4,PE-3(5),No supervised tamper switch on the reader assembly at this access point.
F-006-04,AP-006,Meeting suite door 1,general,ir,IR barrier release,W-NO-EVENT-LOG,Access point produces no retained access event record,inventory,1.0,Medium,2.415,Low,"A.7.4, A.8.15","AU-2, PE-6",Access point is not integrated with the access control platform; no retained event is produced for entries through it.
